rank,name,location,state,median_SAT_ACT_score,SAT,ACT,est_price_2018_19_without_aid,est_price_2018.19_with_avg._grant,percent_with_need_who_get_grants,ave_student_debt,early_career_earnings,diff_price_ecEarning,diff_price_debt,lon,lat
450,University of Detroit Mercy,"Detroit, MI",MI,1120/25,1120,25,58800,24000,98,23500,50900,-7900,27400,-83.1379029,42.414062
451,University of Colorado Boulder,"Boulder, CO",CO,1190/28,1190,28,30900,24400,76,19500,53400,22500,33900,-105.2659417,40.007581
452,Mississippi University for Women,"Columbus, MS",MS,1080/21,1080,21,19600,10800,69,15000,40500,20900,25500,-88.4187196,33.4947079
453,Pitzer College,"Claremont, CA",CA,NA/NA,NA,NA,72200,27400,98,15900,49000,-23200,33100,-117.7047193,34.1046624
454,Rhodes College,"Memphis, TN",TN,1270/29,1270,29,63000,32000,100,26200,47900,-15100,21700,-89.9892872,35.1550839
455,Winston-Salem State University,"Winston-Salem, NC",NC,870/18,870,18,20300,11100,85,25700,44900,24600,19200,-80.2251168,36.089874
456,Presbyterian College,"Clinton, SC",SC,1110/25,1110,25,53200,21200,100,26100,46000,-7200,19900,-81.877559,34.465182
457,Transylvania University,"Lexington, KY",KY,NA/NA,NA,NA,51800,25400,100,27000,46000,-5800,19000,-84.4936508,38.053147
458,Northwood University,"Midland, MI",MI,1000/22,1000,22,41300,24200,85,21800,45600,4300,23800,-84.2744061,43.6301146
459,Rider University,"Lawrenceville, NJ",NJ,1010/22,1010,22,61100,31200,98,25800,48700,-12400,22900,-74.738187,40.279623
460,Azusa Pacific University,"Azusa, CA",CA,1020/23,1020,23,53700,30600,98,22500,47200,-6500,24700,-117.8883593,34.1300755
461,Worcester State University,"Worcester, MA",MA,1010/24,1010,24,26300,16800,81,20000,47600,21300,27600,-71.8441349,42.2679717
462,DeSales University,"Center Valley, PA",PA,1060/25,1060,25,53600,27400,94,26000,47400,-6200,21400,-75.3792986,40.5387807
462,University of Northwestern-St Paul,"Saint Paul, MN",MN,1100/24,1100,24,44400,25600,97,22100,42900,-1500,20800,-93.168573,45.031563
464,Framingham State University,"Framingham, MA",MA,990/23,990,23,26800,18300,81,24700,46900,20100,22200,-71.436075,42.2981072
465,University of Nevada-Reno,"Reno, NV",NV,1090/24,1090,24,24800,16100,77,18800,50300,25500,31500,-119.816397,39.5441917
466,University of Wisconsin-River Falls,"River Falls, WI",WI,NA/23,NA,23,20400,15100,57,22700,44400,24000,21700,-92.6206021,44.8526697
467,Saint Edward's University,"Austin, TX",TX,1110/25,1110,25,60100,26400,90,25300,45600,-14500,20300,-97.7538582,30.2297224
468,Franklin College,"Franklin, IN",IN,970/22,970,22,45400,23700,100,27000,45100,-300,18100,-86.045479,39.478646
469,Lincoln Memorial University,"Harrogate, TN",TN,1000/22,1000,22,37400,17500,NA,17000,41100,3700,24100,-83.6607601,36.576972
470,University of North Carolina School of the Arts,"Winston-Salem, NC",NC,1140/25,1140,25,22500,14400,86,27000,44200,21700,17200,-80.237011,36.076292
471,Biola University,"La Mirada, CA",CA,1090/24,1090,24,55800,34700,98,24500,47000,-8800,22500,-118.0151797,33.9054476
472,Wagner College,"Staten Island, NY",NY,NA/NA,NA,NA,63700,29200,99,26400,53900,-9800,27500,-74.0944049,40.6149796
472,Central Connecticut State University,"New Britain, CT",CT,1000/22,1000,22,25800,15900,61,22500,49900,24100,27400,-72.764167,41.693255
474,American University,"Washington, DC",DC,1250/29,1250,29,65800,34100,87,24300,51800,-14000,27500,-77.0888029,38.9374948
474,Lakeland University,"Plymouth, WI",WI,910/19,910,19,42200,22800,86,25500,45200,3000,19700,-87.8848303,43.8418672
476,Marian University,"Fond Du Lac, WI",WI,NA/20,NA,20,39900,23200,98,27000,46100,6200,19100,-86.2035016,39.8146979
477,Xavier University,"Cincinnati, OH",OH,1100/26,1100,26,53600,29800,67,27000,48600,-5000,21600,-84.4745119,39.1493644
478,Washington & Jefferson College,"Washington, PA",PA,NA/NA,NA,NA,61600,29100,85,27000,45800,-15800,18800,-120.7401385,47.7510741
479,Willamette University,"Salem, OR",OR,NA/NA,NA,NA,63800,35000,99,26000,47700,-16100,21700,-123.0299071,44.9355088
480,Longwood University,"Farmville, VA",VA,970/21,970,21,27600,20200,76,25000,44500,16900,19500,-78.3961973,37.2971798
481,University of Puget Sound,"Tacoma, WA",WA,NA/NA,NA,NA,65000,43400,99,27000,50500,-14500,23500,-122.481455,47.261764
482,Otis College of Art and Design,"Los Angeles, CA",CA,NA/NA,NA,NA,66200,42300,99,27000,49600,-16600,22600,-118.4174056,33.9563229
482,Iona College,"New Rochelle, NY",NY,1000/23,1000,23,57200,29000,41,26000,52000,-5200,26000,-73.7864435,40.9271278
484,MidAmerica Nazarene University,"Olathe, KS",KS,890/22,890,22,43100,19800,96,18800,45700,2600,26900,-94.7823676,38.8760668
484,Texas State University,"San Marcos, TX",TX,1030/23,1030,23,23200,13600,81,21300,46900,23700,25600,-97.938351,29.888411
486,Ball State University,"Muncie, IN",IN,1080/22,1080,22,24900,14400,59,25000,43100,18200,18100,-85.406986,40.2061028
487,Unity College,"Unity, ME",ME,NA/NA,NA,NA,41500,27000,100,27000,38400,-3100,11400,-69.332298,44.6039934
488,The Sage Colleges,"Troy, NY",NY,NA/NA,NA,NA,46500,21600,74,23300,43200,-3300,19900,-73.6938348,42.728267
489,Georgian Court University,"Lakewood, NJ",NJ,950/20,950,20,52200,24000,97,25000,42700,-9500,17700,-74.226609,40.0988128
490,Trinity College,"Hartford, CT",CT,NA/NA,NA,NA,73200,25100,97,21000,55600,-17600,34600,-72.6903345,41.7479332
491,William Paterson University of New Jersey,"Wayne, NJ",NJ,990/NA,990,NA,29400,16700,68,24500,47800,18400,23300,-74.1981377,40.9460061
492,Sarah Lawrence College,"Bronxville, NY",NY,1290/29,1290,29,72000,35300,97,13500,47600,-24400,34100,-73.8433974,40.9360524
493,Ripon College,"Ripon, WI",WI,1010/24,1010,24,53600,22400,99,28000,43600,-10000,15600,-88.8409595,43.8432217
494,Felician University,"Lodi, NJ",NJ,900/19,900,19,51800,19000,83,25000,51500,-300,26500,-74.1121159,40.8304574
495,Catholic University of America,"Washington, DC",DC,NA/NA,NA,NA,64000,38700,98,26100,52800,-11200,26700,-76.998692,38.9368811
496,West Virginia University,"Morgantown, WV",WV,1020/24,1020,24,23000,11600,70,24000,50800,27800,26800,-79.9559358,39.6361396
497,Emmanuel College,"Boston, MA",MA,1120/25,1120,25,58200,34200,100,27000,46700,-11500,19700,-71.1022899,42.3410214
498,Franciscan University of Steubenville,"Steubenville, OH",OH,1170/25,1170,25,38700,28300,99,22000,44400,5700,22400,-80.6244016,40.3772094
499,Butler University,"Indianapolis, IN",IN,1160/28,1160,28,58100,35700,98,27000,48900,-9200,21900,-86.1711908,39.8411235
500,Southwestern University,"Georgetown, TX",TX,1170/26,1170,26,55600,27500,99,26900,50300,-5300,23400,-97.6651268,30.6349251
501,Valparaiso University,"Valparaiso, IN",IN,1100/26,1100,26,54300,24300,100,27000,50700,-3600,23700,-87.042381,41.463273
501,Baylor University,"Waco, TX",TX,1220/28,1220,28,61700,39000,97,25000,51600,-10100,26600,-97.1143046,31.5497007
501,Point Loma Nazarene University,"San Diego, CA",CA,1140/26,1140,26,51000,32200,94,25000,48300,-2700,23300,-117.250694,32.716863
504,North Central College,"Naperville, IL",IL,1080/25,1080,25,52500,26000,100,25000,47200,-5300,22200,-88.1434071,41.772834
504,University of Tulsa,"Tulsa, OK",OK,1250/30,1250,30,60900,29300,36,27000,55800,-5100,28800,-95.946,36.1519879
506,Covenant College,"Lookout Mountain, GA",GA,1180/27,1180,27,47000,26600,99,21500,41700,-5300,20200,-85.3751114,34.9646194
507,Simpson College,"Indianola, IA",IA,1080/24,1080,24,51400,25100,98,27000,46500,-4900,19500,-93.563626,41.364988
508,Agnes Scott College,"Decatur, GA",GA,NA/NA,NA,NA,55400,22900,100,27000,42900,-12500,15900,-84.2945537,33.7692226
509,SUNY at Fredonia,"Fredonia, NY",NY,1010/25,1010,25,24200,17800,74,25000,41800,17600,16800,-79.3403633,42.4538665
510,Christopher Newport University,"Newport News, VA",VA,1160/26,1160,26,30400,24300,65,25000,47300,16900,22300,-76.4944131,37.064674
511,St Francis College,"Brooklyn Heights, NY",NY,930/21,930,21,45600,15900,98,24400,49300,3700,24900,-73.992165,40.69323
512,University of Mississippi,"Oxford, MS",MS,1120/26,1120,26,25400,15800,85,20000,45700,20300,25700,-89.538443,34.3647324
513,Creighton University,"Omaha, NE",NE,1170/27,1170,27,54700,32600,96,25300,50000,-4700,24700,-95.9471919,41.2653105
514,Northwestern College,"Orange City, IA",IA,1040/25,1040,25,44700,24300,96,25100,42200,-2500,17100,-96.0582598,42.9979484
515,The College of Saint Rose,"Albany, NY",NY,NA/NA,NA,NA,48400,25000,81,23500,41700,-6700,18200,-73.7856653,42.6640994
516,Walsh University,"North Canton, OH",OH,1000/22,1000,22,44200,21700,80,27800,44900,700,17100,-81.3688395,40.8740394
517,Ohio Wesleyan University,"Delaware, OH",OH,NA/NA,NA,NA,61800,30000,100,27000,47800,-14000,20800,-83.0693059,40.2964786
518,University of Wisconsin-Stevens Point,"Stevens Point, WI",WI,NA/23,NA,23,19400,13500,74,24400,43000,23600,18600,-89.5713776,44.5294468
519,Saint Ambrose University,"Davenport, IA",IA,NA/23,NA,23,45900,25800,99,25800,44500,-1400,18700,-90.5807611,41.5404254
520,University of Hawaii at Manoa,"Honolulu, HI",HI,1080/23,1080,23,30200,14500,94,18800,48600,18400,29800,-157.8171118,21.296939
521,Northern State University,"Aberdeen, SD",SD,960/21,960,21,21800,15400,83,24400,41700,19900,17300,-98.4844923,45.4510995
522,Mount St Mary's University,"Emmitsburg, MD",MD,1050/22,1050,22,57400,32700,99,26000,46400,-11000,20400,-77.3490013,39.6807058
523,University of North Carolina Wilmington,"Wilmington, NC",NC,1200/24,1200,24,25200,17400,92,20500,43400,18200,22900,-77.8701325,34.2239869
524,Oberlin College,"Oberlin, OH",OH,1350/31,1350,31,73000,45200,99,26600,49400,-23600,22800,-82.2236001,41.293483
