rank,name,location,median_SAT_ACT_score,est_price_2018_19_without_aid,est_price_2018-19_with_avg._grant,percent_with_need_who_get_grants,ave_student_debt,early_career_earnings
274,Louisiana State University and Agricultural & Mechanical College,"Baton Rouge, LA",1130/26,30400,16200,86%,20900,51800
276,Furman University,"Greenville, SC",NA/NA,65200,33300,100%,25400,48100
277,Augustana University,"Sioux Falls, SD",1080/26,46500,21400,99%,27000,44800
278,Saint Joseph's University,"Philadelphia, PA",1140/26,62300,38700,92%,23000,53300
279,Waynesburg University,"Waynesburg, PA",970/22,36900,19900,98%,27000,43700
280,Stonehill College,"Easton, MA",NA/NA,61000,33300,97%,27000,51800
281,Bryant University,"Smithfield, RI",NA/NA,61300,39200,70%,27000,56300
282,Muhlenberg College,"Allentown, PA",1230/28,66900,39400,97%,26500,50000
282,Lebanon Valley College,"Annville, PA",1100/25,58800,28300,99%,27000,46100
284,Keuka College,"Keuka Park, NY",950/21,48600,25900,82%,25900,43300
284,George Washington University,"Washington, DC",1290/30,71000,42500,94%,25000,56200
284,Hobart William Smith Colleges,"Geneva, NY",1260/28,71400,41700,99%,27000,52400
287,Farmingdale State College,"Farmingdale, NY",970/21,24700,9300,79%,16000,49100
288,Drake University,"Des Moines, IA",1200/28,55300,30200,98%,26000,49200
289,Juniata College,"Huntingdon, PA",NA/NA,59600,30200,98%,27000,47600
290,Saint Vincent College,"Latrobe, PA",1050/23,50100,24600,80%,27000,46200
291,Milwaukee School of Engineering,"Milwaukee, WI",1250/28,53300,25800,100%,27000,63400
292,Seton Hall University,"South Orange, NJ",1160/25,58500,29900,58%,25000,53900
292,Edgewood College,"Madison, WI",1020/23,43700,25900,98%,25500,46500
294,Saint Norbert College,"De Pere, WI",1100/25,49300,26000,97%,27000,47800
294,University of Redlands,"Redlands, CA",1090/25,68600,36700,99%,28500,50200
296,Bradley University,"Peoria, IL",1100/25,47800,28700,96%,27000,52000
297,Westminster College,"New Wilmington, PA",1050/23,50700,22400,99%,27000,44400
298,California State University-San Marcos,"San Marcos, CA",960/21,25900,9600,90%,18000,47900
298,Ohio Northern University,"Ada, OH",1130/26,47200,26100,99%,27000,51400
300,Centre College,"Danville, KY",1210/29,55200,27400,99%,27000,46700
301,Seattle University,"Seattle, WA",1180/28,61000,38300,91%,24500,55000
301,Kansas State University,"Manhattan, KS",NA/NA,24900,17600,56%,22500,50000
301,Gonzaga University,"Spokane, WA",1210/28,58700,36100,100%,26400,53800
301,DePaul University,"Chicago, IL",NA/NA,57600,34400,86%,23300,51500
305,St Mary's College of Maryland,"St. Mary's City, MD",1130/26,30400,21200,73%,20400,50600
306,University of Mary Washington,"Fredericksburg, VA",1110/25,28100,22000,64%,21500,50600
307,Sonoma State University,"Rohnert Park, CA",980/22,26700,17400,65%,17500,50100
308,Southern Methodist University,"Dallas, TX",1320/30,74100,40300,73%,21500,55000
309,University of Arizona,"Tucson, AZ",NA/NA,29000,17700,89%,19000,52700
310,Colorado State University-Fort Collins,"Fort Collins, CO",1140/26,26600,17400,68%,21000,49900
311,Daemen College,"Amherst, NY",NA/NA,44200,18400,98%,20400,43400
312,Oregon State University,"Corvallis, OR",1120/25,26800,20900,80%,23500,52200
313,Saint Francis University,"Loretto, PA",1060/24,53200,26700,56%,27000,44800
314,Concordia University-Nebraska,"Seward, NE",1000/24,43500,20800,100%,25300,38400
315,Pacific Lutheran University,"Tacoma, WA",1110/25,56100,27100,99%,25800,50000
316,Massachusetts College of Art and Design,"Boston, MA",1070/24,30400,23300,80%,25300,46500
316,University of Miami,"Coral Gables, FL",1300/30,67900,40200,51%,19800,52700
318,Louisiana Tech University,"Ruston, LA",1090/24,20900,10200,92%,19900,50300
